This file contains the transfer function between the following input and output 


Input : 178 NOTH/CMCONST/CM

Output : 180 NOTH/MYOUTPUT/MYOUTPUT

frequency            transfer_function                   modulus                    phases 
18.73817422860385       [0.02417271+0.17868547j]             [0.18031311]            [1.43633186]
20.09233002565048       [0.02614393+0.15842022j]             [0.16056298]            [1.40724147]
21.544346900318846       [0.02646363+0.14069179j]             [0.14315901]            [1.38487225]
23.101297000831604       [0.02569014+0.12527055j]             [0.12787766]            [1.36852361]
24.770763559917114       [0.0242369+0.11189532j]             [0.11449013]            [1.3574882]
26.560877829466868       [0.0224017+0.10030301j]             [0.10277417]            [1.35106222]
28.48035868435802       [0.02039297+0.09024562j]             [0.09252105]            [1.34855701]
30.538555088334157       [0.01835183+0.08149891j]             [0.08353959]            [1.34931169]
32.74549162877728       [0.01636977+0.07386569j]             [0.07565785]            [1.35270584]
35.11191734215131       [0.01450253+0.06717594j]             [0.06872358]            [1.35817076]
37.64935806792467       [0.0127807+0.06128513j]             [0.06260362]            [1.36519826]
40.37017258596554       [0.01121753+0.05607169j]             [0.05718276]            [1.37334596]
43.28761281083057       [0.00981488+0.05143409j]             [0.05236218]            [1.38223887]
46.41588833612782       [0.00856728+0.04728792j]             [0.04805773]            [1.39156766]
49.770235643321136       [0.00746501+0.04356319j]             [0.04419817]            [1.4010841]
53.366992312063125       [0.00649609+0.04020195j]             [0.04072341]            [1.41059471]
57.2236765935022       [0.00564764+0.0371561j]             [0.03758286]            [1.41995332]
61.35907273413176       [0.00490683+0.03438567j]             [0.034734]            [1.42905348]
65.79332246575683       [0.00426138+0.03185728j]             [0.03214103]            [1.43782109]
70.54802310718645       [0.00369988+0.02954294j]             [0.02977372]            [1.44620779]
75.64633275546291       [0.00321194+0.02741903j]             [0.02760652]            [1.45418515]
81.11308307896873       [0.00278824+0.02546547j]             [0.02561766]            [1.46173982]
86.97490026177834       [0.00242049+0.02366508j]             [0.02378854]            [1.46886964]
93.26033468832199       [0.0021014+0.02200307j]             [0.02210319]            [1.47558043]
100.0       [0.00182455+0.02046657j]             [0.02054774]            [1.4818836]
